City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuuk,64.1835,-51.7216,-1.66,50,40,1.54,GL,1704155820
1,port-aux-francais,-49.35,70.2167,4.76,96,100,16.52,TF,1704155993
2,vadso,70.0744,29.7487,-12.91,72,100,5.14,NO,1704155993
3,iskateley,67.6803,53.1512,-28.32,99,74,2.24,RU,1704155993
4,kapa'a,22.0752,-159.319,27.99,76,20,7.72,US,1704155993
5,zeya,53.75,127.2667,-29.17,98,16,0.82,RU,1704155993
6,kupjansk,49.7209,37.5998,3.62,86,100,6.77,UA,1704155994
7,adamstown,-25.066,-130.1015,23.29,82,100,4.15,PN,1704155994
8,kidal,18.4411,1.4078,20.33,15,44,3.32,ML,1704155994
9,bethel,41.3712,-73.414,3.85,70,100,0.0,US,1704155994
10,albany,42.6001,-73.9662,-2.48,74,0,1.34,US,1704155994
11,college,64.8569,-147.8028,-24.95,77,40,0.0,US,1704155995
12,whitehorse,60.7161,-135.0538,-12.57,85,100,2.06,CA,1704155995
13,bilibino,68.0546,166.4372,-27.65,92,100,0.89,RU,1704155995
14,edinburgh of the seven seas,-37.0676,-12.3116,16.57,90,100,2.13,SH,1704155995
15,udachny,66.4167,112.4,-27.08,97,100,2.39,RU,1704155995
16,buka,40.8108,69.1986,5.5,38,100,2.27,UZ,1704155995
17,san lorenzo,-25.3333,-57.5333,23.66,94,75,6.26,PY,1704155995
18,santena,44.9462,7.773,6.14,82,100,1.03,IT,1704155996
19,avarua,-21.2078,-159.775,28.03,69,75,4.63,CK,1704155996
20,labrador city,52.9463,-66.9114,-12.05,79,100,6.17,CA,1704155996
21,argo,37.6333,22.7333,11.55,75,100,1.75,GR,1704155996
22,grytviken,-54.2811,-36.5092,0.9,74,52,3.04,GS,1704155996
23,tazovsky,67.4667,78.7,-30.7,97,6,4.08,RU,1704155996
24,yellowknife,62.456,-114.3525,-16.71,85,100,4.63,CA,1704155996
25,waitangi,-43.9535,-176.5597,15.46,76,100,2.68,NZ,1704155997
26,howrah,22.5892,88.3103,13.0,94,0,2.57,IN,1704155997
27,talnakh,69.4865,88.3972,-29.89,87,58,0.64,RU,1704155997
28,nova sintra,14.8667,-24.7167,22.1,65,100,7.01,CV,1704155997
29,blackmans bay,-43.0167,147.3167,18.74,77,97,0.45,AU,1704155997
30,vilyuysk,63.7553,121.6247,-26.11,98,100,2.24,RU,1704155997
31,sao tome,0.3365,6.7273,26.02,83,20,1.54,ST,1704155998
32,stanley,54.868,-1.6985,4.87,94,75,5.14,GB,1704155710
33,remire-montjoly,4.9167,-52.2667,25.02,94,20,0.0,GF,1704155998
34,tamanrasset,22.785,5.5228,8.95,23,0,0.0,DZ,1704155998
35,rongelap,11.1635,166.8941,27.82,73,100,7.78,MH,1704155998
36,bechar,31.6167,-2.2167,9.18,40,40,4.12,DZ,1704155998
37,ad dabbah,18.05,30.95,16.49,34,0,4.18,SD,1704155998
38,saipan,15.1355,145.701,29.39,79,40,6.17,MP,1704155999
39,badger,64.8,-147.5333,-25.0,79,0,0.0,US,1704155756
40,port augusta,-32.5,137.7667,30.73,28,100,4.03,AU,1704155999
41,warrnambool,-38.3833,142.4833,17.87,93,100,4.98,AU,1704155999
42,hilton head island,32.2163,-80.7526,14.06,77,100,4.09,US,1704155822
43,kapuskasing,49.4169,-82.4331,-2.95,80,100,6.69,CA,1704155999
44,kavaratti,10.5669,72.642,27.74,72,96,2.35,IN,1704156000
45,iqaluit,63.7506,-68.5145,-23.15,64,75,4.12,CA,1704155711
